name,learning_rate,gamma,n_steps,batch_size,ent_coef,clip_range,overall_mean_reward,adult_weight_loss,adult_weight_gain,adult_hypertension,baby_meal
ppo_exp_01,0.0003,0.99,1024,64,0.01,0.2,50.67633928571428,51.45,54.22214285714286,46.86803571428571,50.16517857142857
ppo_exp_02,0.0001,0.99,1024,64,0.01,0.2,-10.623856672932327,-10.703500000000002,-27.05210526315787,-15.097142857142856,10.357321428571428
ppo_exp_03,0.0005,0.99,1024,64,0.01,0.2,48.00782738095238,51.45,54.22214285714286,49.8425,36.516666666666666
ppo_exp_04,0.0003,0.95,1024,64,0.01,0.2,49.19297619047619,50.475833333333334,53.15071428571429,39.55875,53.58660714285715
ppo_exp_05,0.0003,0.99,2048,64,0.01,0.2,39.21363839285714,20.360000000000003,50.606071428571425,44.97749999999999,40.910982142857144
ppo_exp_06,0.0003,0.99,1024,128,0.01,0.2,39.61736411340852,43.04083333333333,47.175319548872174,39.74071428571428,28.51258928571429
ppo_exp_07,0.0003,0.99,1024,64,0.001,0.2,43.30177827380952,32.8975,42.28517857142856,50.69375,47.33068452380952
ppo_exp_08,0.0003,0.99,1024,64,0.02,0.2,40.05236309523809,42.55,44.838142857142856,40.292500000000004,32.52880952380952
ppo_exp_09,0.0003,0.99,1024,64,0.01,0.1,37.482183035714286,22.010000000000005,43.789,43.21875,40.910982142857144
ppo_exp_10,0.0003,0.995,2048,128,0.005,0.25,17.454994360902255,20.974,-3.1247368421052677,39.74071428571428,12.23
