#{"t_start": 1775311724.411631, "env_id": "None"}
r,l,t
6.127368,9,12.787076
6.455667,3,12.794341
-10.255,20,12.840415
14.040333,13,12.874233
7.904167,5,12.886882
-4.225,20,12.9343
23.831944,15,12.969047
-58.54625,20,13.019205
5.61,3,13.027075
-18.008,11,13.051472
2.868333,18,13.09412
-7.03,1,13.097571
-7.03,1,13.100253
30.8525,17,13.139593
30.505,4,13.149159
10.782,3,13.156398
-1.722222,20,13.204863
17.390368,7,13.223083
-4.629765,20,13.270933
-50.73,9,13.295304
2.35,4,13.305727
-18.709,17,13.346102
32.915357,11,13.372055
7.828,20,13.421462
24.145833,5,13.433509
21.17,17,13.472644
-79.596667,20,13.520448
16.543333,3,13.529846
8.774737,19,13.573119
2.033333,13,13.604254
-0.113333,12,13.631102
-79.431053,20,13.676305
-19.144684,11,13.704169
3.173333,6,13.718245
-7.69,3,13.72536
-7.36,2,13.73098
17.59,17,13.770522
22.544444,20,13.818297
29.24506,6,13.83276
3.933333,4,13.841803
26.869286,13,13.870726
21.464105,14,13.90551
18.95,5,13.916897
-108.703333,17,13.956515
4.263333,3,13.964507
2.586222,20,14.012171
18.394444,15,14.046392
12.465,3,14.053462
11.52,8,14.07194
3.575,19,14.116346
-7.03,1,14.118738
20.1705,20,14.16302
10.528889,17,14.202814
31.46375,16,14.242548
15.298036,5,14.254397
16.982632,15,14.288755
4.163333,3,14.296456
13.965,12,15.042537
-7.36,2,15.04713
11.154737,20,15.091963
-33.558895,3,15.100301
-11.028,14,15.13574
-6.108444,12,15.164656
9.418929,4,15.174375
-20.57,20,15.221016
6.543158,20,15.268706
-7.03,1,15.271734
13.465714,6,15.285547
16.95,12,15.313422
12.797895,6,15.327504
27.210833,6,15.343753
-7.36,2,15.348547
-7.36,2,15.353461
-92.708889,12,15.383105
10.838211,17,15.421973
3.085263,4,15.431228
21.159167,13,15.462217
9.856667,3,15.469287
-7.03,1,15.471845
21.868316,8,15.489912
-28.760804,14,15.521883
32.4255,8,15.540757
-5.0485,15,15.576257
37.803333,13,15.60574
3.586316,5,15.617691
4.29,7,15.633566
21.72,6,15.648879
-14.155893,20,15.696007
36.069643,7,15.71429
10.927857,5,15.726098
28.05,10,15.752327
24.31,13,15.783592
15.291429,9,15.804342
20.07,8,15.823682
26.921333,13,15.856642
-7.36,2,15.861591
24.646429,16,15.898975
-20.176053,20,15.944249
26.012,8,15.965669
-45.800357,12,15.994166
8.299286,9,16.014395
-7.03,1,16.017191
19.965556,15,16.050345
-0.87,2,16.055338
-21.163,12,16.085876
32.243929,12,16.113116
5.49625,20,16.157579
23.140667,9,16.182556
29.63,9,16.203593
-13.619316,7,16.220587
26.18,9,16.241931
-1.94,14,16.277081
-0.255333,20,16.324104
17.775789,17,16.362665
-7.03,1,16.365345
43.387833,12,16.397825
42.471667,14,16.435481
1.173333,6,16.448926
13.126667,13,16.481369
39.943333,12,16.510913
-0.924444,20,16.556157
4.47,7,16.577439
-7.03,1,16.581135
-1.462,9,16.602143
7.756,6,16.615855
-7.03,1,16.618525
33.235556,14,16.657402
4.397368,8,16.685444
-16.724737,3,16.699573
5.214889,17,16.748418
26.783393,20,16.796681
-7.03,1,16.799246
-11.381421,9,16.820415
-7.75,5,16.831877
20.7875,4,16.841491
11.4865,6,16.855351
7.112667,20,16.901498
30.028667,5,16.913789
20.940595,10,16.936616
-30.912222,19,16.979139
20.701464,20,17.027784
-7.03,1,17.030795
19.242667,3,17.038599
-3.404833,17,17.075572
-21.178211,2,17.080599
8.086,5,17.094445
8.806667,3,17.102005
18.29,7,17.117873
-58.14,20,17.164814
15.144222,9,17.186369
15.792667,3,17.195641
9.196667,17,17.300278
27.015103,8,17.31868
28.216667,5,17.330506
6.724737,7,17.347266
-61.179333,8,17.365362
4.918,8,17.384372
-7.03,1,17.387311
-39.2075,15,17.425249
-1.958947,7,17.441724
23.702857,5,17.454533
20.098667,4,17.46361
-17.856667,20,17.510862
31.839286,13,17.540901
-6.783571,15,18.280813
11.274286,3,18.288053
-56.517333,9,18.310429
16.045833,18,18.353342
32.171944,14,18.386372
-4.283421,6,18.399703
33.798947,16,18.441975
14.653368,8,18.460777
33.916,12,18.488306
-4.842632,10,18.510476
-48.085,9,18.53431
8.162857,4,18.543797
29.89125,11,18.569129
7.756667,8,18.587255
-10.781579,7,18.60309
35.045167,15,18.638418
9.415357,6,18.651699
