episode,reward
1,10.988336466165416
2,-53.291934523809516
3,-57.019999999999996
4,16.6515507518797
5,-189.10333333333332
6,-73.53696428571429
7,-152.69333333333333
8,-58.13000000000001
9,-216.75071428571434
10,-127.69125
11,-4.162499999999998
12,10.00594444444445
13,-20.947499999999998
14,-216.5266666666667
15,-60.91066666666667
16,-44.96333333333333
17,-50.816785714285714
18,9.076
19,8.007368421052636
20,-1.2385714285714293
21,-201.39333333333335
22,-99.94000000000003
23,8.927142857142861
24,19.52281015037594
25,-4.283333333333332
26,-58.2
27,-30.293684210526308
28,-41.40333333333333
29,-69.04999999999998
30,-50.79666666666665
31,-79.08333333333333
32,15.563500000000001
33,11.332857142857144
34,-29.376842105263158
35,18.538000000000004
36,17.56500000000001
37,12.500000000000007
38,3.8080000000000007
39,39.566
40,-77.49999999999999
41,17.71464285714286
42,-7.03
43,-65.43357142857145
44,-83.28999999999999
45,9.553888888888899
46,16.080000000000002
47,-4.278249999999997
48,-7.03
49,32.69
50,-40.79333333333333
51,-33.199999999999996
52,-62.43089285714285
53,-83.45
54,-22.40178947368421
55,11.499999999999993
56,49.102584586466165
57,14.922105263157889
58,26.686071428571427
59,5.926428571428573
60,3.3328571428571427
61,-76.0375
62,15.616428571428571
63,-14.724999999999994
64,24.419999999999998
65,-2.150000000000003
66,14.83
67,9.300000000000006
68,-33.95999999999999
69,-8.02
70,1.9528571428571428
71,41.22071428571429
72,-75.53666666666665
73,11.589928571428572
74,-47.23955555555555
75,15.594000000000001
76,-3.414999999999991
77,31.868809523809524
78,-14.737777777777772
79,6.312333333333335
80,-22.15555555555555
81,-16.559999999999995
82,9.860000000000003
83,-51.40821428571429
84,24.376666666666665
85,15.419285714285715
86,10.166666666666668
87,-111.14999999999998
88,18.362142857142857
89,-19.04055555555555
90,-73.62888888888887
91,-4.433333333333328
92,3.6980357142857105
93,-18.42366666666667
94,-7.69
95,-13.199473684210526
96,-0.8424210526315674
97,-2.2936842105263113
98,13.230666666666675
99,2.3500000000000005
100,-53.28232142857143
101,-111.91666666666666
102,19.28
103,-27.55383333333333
104,10.957684210526322
105,-96.78
106,3.1100000000000003
107,13.840000000000002
108,-2.618000000000002
109,36.42892857142857
110,-7.03
111,-73.12888888888888
112,-15.280000000000001
113,-52.28999999999999
114,-5.748214285714284
115,6.355
116,18.288
