episode,loss,entropy
1,0.13820181787014008,3.3651716709136963
2,-0.15473636984825134,3.365849256515503
3,-0.2385091781616211,3.3657515048980713
4,-0.17933055758476257,3.3650155067443848
5,-0.10051166266202927,3.365391969680786
6,-0.5184841752052307,3.3649582862854004
7,-0.7572797536849976,3.3646538257598877
8,0.10691168159246445,3.364180564880371
9,-0.45745399594306946,3.3641183376312256
10,-0.7707817554473877,3.3638408184051514
11,0.4543209373950958,3.36356520652771
12,1.0786526203155518,3.36310076713562
13,0.057469114661216736,3.3631467819213867
14,-0.4676531255245209,3.362511396408081
15,-0.08010753989219666,3.362447500228882
16,-0.5824750661849976,3.363008975982666
17,-0.4196268618106842,3.3626997470855713
18,-0.023121606558561325,3.3631439208984375
19,0.17861700057983398,3.361936330795288
20,-0.024869810789823532,3.3620712757110596
21,-0.42987796664237976,3.3599908351898193
22,-0.497262567281723,3.3605852127075195
23,0.1316918581724167,3.3608224391937256
24,0.71589195728302,3.360156774520874
25,-0.20508264005184174,3.361323118209839
26,-0.9256004691123962,3.358543872833252
27,-0.0473773367702961,3.359067916870117
28,0.05376705899834633,3.3587472438812256
29,-0.6309124231338501,3.358968496322632
30,0.19192206859588623,3.3580124378204346
31,-0.8322689533233643,3.358358383178711
32,0.3359849750995636,3.3604793548583984
33,0.18736159801483154,3.359429359436035
34,-0.17906762659549713,3.356707811355591
35,0.020652633160352707,3.358978271484375
36,-0.3534018099308014,3.358274221420288
37,-0.768071711063385,3.3565025329589844
38,-0.2209412157535553,3.355419874191284
39,-0.07103409618139267,3.3575496673583984
40,-0.4550599157810211,3.3544564247131348
41,0.1917145848274231,3.3572335243225098
42,-22.750276565551758,3.3570613861083984
43,-1.7542624473571777,3.3546342849731445
44,-0.6463452577590942,3.353468656539917
45,-0.23915454745292664,3.355705976486206
46,-0.17029476165771484,3.3521711826324463
47,-2.4911069869995117,3.3484764099121094
48,-22.945716857910156,3.356224536895752
49,-0.15226353704929352,3.3525445461273193
50,-0.16627128422260284,3.3487796783447266
51,-0.8319071531295776,3.3424899578094482
52,-2.340512275695801,3.348302125930786
53,-0.3257101774215698,3.3486945629119873
54,0.04143499583005905,3.349668025970459
55,1.6920524835586548,3.3398759365081787
56,-0.0427255854010582,3.34431791305542
57,-1.9178450107574463,3.3390586376190186
58,-0.3912516236305237,3.3401832580566406
59,-0.5753539204597473,3.343405246734619
60,0.04661983996629715,3.344351053237915
61,-2.4008963108062744,3.331805467605591
62,0.9202708601951599,3.3336029052734375
63,0.7628176212310791,3.3199639320373535
64,-0.23175641894340515,3.33711576461792
65,1.1913692951202393,3.328082799911499
66,0.036957431584596634,3.346752166748047
67,0.8615550398826599,3.325981616973877
68,-0.026618318632245064,3.3355519771575928
69,-0.3815392553806305,3.337775945663452
70,-0.28449803590774536,3.33528208732605
71,0.40859803557395935,3.342531681060791
72,-0.22840383648872375,3.3315696716308594
73,0.7647132873535156,3.3288066387176514
74,-2.13277530670166,3.331777572631836
75,-0.7211506962776184,3.3378145694732666
76,2.800581932067871,3.3229362964630127
77,0.01729777827858925,3.344144344329834
78,-1.025532841682434,3.32560133934021
79,0.08554063737392426,3.340977668762207
80,-1.5149949789047241,3.324110507965088
81,-0.923044741153717,3.340087890625
82,0.7603572607040405,3.319383382797241
83,-0.8357110023498535,3.3276162147521973
84,0.6766489148139954,3.3361260890960693
85,-1.2310395240783691,3.3284637928009033
86,0.13000446557998657,3.334636688232422
87,-1.6709522008895874,3.3238747119903564
88,-0.005964977666735649,3.3275914192199707
89,-1.1391358375549316,3.3116469383239746
90,-2.7293872833251953,3.311617374420166
91,0.6359361410140991,3.331211566925049
92,-1.0142720937728882,3.3344504833221436
93,-0.08496002852916718,3.3197877407073975
94,-0.7117449641227722,3.3304977416992188
95,-0.19467557966709137,3.3177242279052734
96,-0.6631008982658386,3.3084778785705566
97,-0.5600077509880066,3.296316623687744
98,1.3051323890686035,3.3083033561706543
99,0.08357076346874237,3.3123066425323486
100,-0.76764976978302,3.3243865966796875
101,2.2432775497436523,3.3027801513671875
102,0.5590679049491882,3.308586597442627
103,-3.5483105182647705,3.2888450622558594
104,1.416483998298645,3.2876155376434326
105,-4.409109115600586,3.2722065448760986
106,0.265462189912796,3.3285250663757324
107,0.3070417046546936,3.331118106842041
108,-0.2003650963306427,3.3176207542419434
109,0.04180794209241867,3.3003766536712646
110,-22.06391716003418,3.336641311645508
111,-1.0817378759384155,3.2628884315490723
112,2.3424606323242188,3.260605573654175
113,-1.6351746320724487,3.313385486602783
114,0.08479711413383484,3.286633253097534
115,3.094639778137207,3.272411823272705
116,0.8241006731987,3.3298165798187256
117,0.09840036183595657,3.308168888092041
118,-0.39752301573753357,3.328655242919922
119,-21.7232666015625,3.3138177394866943
120,0.2566319704055786,3.302340269088745
121,1.2518024444580078,3.313999652862549
122,-0.3972693681716919,3.336674213409424
123,1.1679428815841675,3.3012115955352783
124,-21.993621826171875,3.316816806793213
125,-0.4338366389274597,3.3363685607910156
126,1.178606390953064,3.301762819290161
127,-1.1240485906600952,3.291994571685791
128,0.9519866704940796,3.2824440002441406
129,-2.3940467834472656,3.303516149520874
130,-0.1968805342912674,3.297884464263916
131,1.4270336627960205,3.3145875930786133
132,-5.014585494995117,3.2824337482452393
133,-0.33074137568473816,3.2961905002593994
134,0.2013990879058838,3.2958984375
135,1.4772170782089233,3.292926073074341
136,-0.3614426255226135,3.336491346359253
137,-22.63606071472168,3.339146375656128
138,-1.5187158584594727,3.3326001167297363
139,0.9686020016670227,3.304884672164917
140,0.8549835085868835,3.300020694732666
141,-3.2951173782348633,3.2719807624816895
142,-0.2324017435312271,3.279345750808716
143,-0.8254401683807373,3.28715181350708
144,-0.25354814529418945,3.322601795196533
145,0.23976033926010132,3.313248872756958
146,-0.12371313571929932,3.291250705718994
147,-0.9705334901809692,3.326554775238037
148,-23.27468490600586,3.3326187133789062
149,-1.0034680366516113,3.295600652694702
150,-1.7102967500686646,3.317439317703247
151,-2.1001088619232178,3.2821907997131348
152,-0.8587124347686768,3.281841278076172
153,0.5934617519378662,3.3044686317443848
154,-0.594617486000061,3.314110517501831
155,-5.192865371704102,3.2936484813690186
156,-2.4277729988098145,3.2834880352020264
157,-0.9394746422767639,3.2592246532440186
158,-3.7485666275024414,3.299708604812622
159,0.9792771339416504,3.274103879928589
160,-0.46594685316085815,3.272465229034424
161,-0.2032962441444397,3.262582540512085
162,-0.9283501505851746,3.2710654735565186
163,1.8274163007736206,3.262991428375244
164,1.5299866199493408,3.2487010955810547
165,-0.4376359283924103,3.2844736576080322
166,-1.3856765031814575,3.2607600688934326
167,-1.0511494874954224,3.2990922927856445
168,4.05488395690918,3.1786041259765625
169,-22.795146942138672,3.2588844299316406
170,-2.6994900703430176,3.250107526779175
171,2.9484851360321045,3.229469060897827
172,1.7358331680297852,3.235106945037842
173,1.5359299182891846,3.236083984375
174,-23.425800323486328,3.2768497467041016
175,-4.772890090942383,3.223362684249878
176,-2.505103826522827,3.2591984272003174
177,-0.6375866532325745,3.2539961338043213
178,-1.0993906259536743,3.193988084793091
179,-0.8846138715744019,3.27466082572937
180,4.38304328918457,3.1314916610717773
181,0.04350973665714264,3.2265052795410156
182,0.20789232850074768,3.2406766414642334
183,-1.0929473638534546,3.234996795654297
184,-0.8559609651565552,3.2006561756134033
185,-2.9672367572784424,3.1925301551818848
186,2.275960922241211,3.215057373046875
187,0.7280750274658203,3.1728992462158203
188,-0.7139876484870911,3.1927216053009033
189,3.631028175354004,3.234323263168335
190,1.7321786880493164,3.177125930786133
191,0.2989450991153717,3.1934587955474854
192,0.5720332264900208,3.2469635009765625
193,-1.312726616859436,3.2283120155334473
