#{"t_start": 1775311599.7773807, "env_id": "None"}
r,l,t
30.001071,18,9.954665
29.82,18,9.982
10.317857,20,10.015078
-34.736667,20,10.050323
8.103571,20,10.085691
14.55,20,10.118776
4.374286,8,10.131905
-20.75,20,10.167669
-62.345357,20,10.201274
31.750714,14,10.226553
-1.497778,20,10.26246
-17.69,20,10.295527
-19.053158,3,10.302118
-87.146667,20,10.334556
-56.87,15,10.360019
-73.17,17,10.390219
-6.342053,5,10.398121
5.856667,7,10.40939
13.612,20,10.442572
-8.28,20,10.478938
-136.211429,20,10.512087
43.3005,14,10.533064
-55.493333,20,10.57098
-4.12,9,10.58498
-18.345556,20,10.619997
12.405714,5,10.630211
-31.152,7,10.640268
10.8,20,10.675016
-85.5225,20,10.707439
11.733333,16,10.731364
33.848571,16,10.757558
-7.03,1,10.764103
-76.238167,20,10.7981
-3.616667,5,10.805763
16.792058,20,10.839454
11.005,8,10.853987
-7.050789,7,10.867942
7.816667,6,10.876533
15.158667,6,10.887297
-59.905357,20,10.92202
-22.1775,6,10.931608
4.263333,3,10.93735
-56.562222,20,10.971691
12.04,5,10.97953
-34.31,20,11.012741
23.8595,20,11.060285
18.5,10,11.086648
30.086389,18,11.116926
-16.138393,20,11.152389
-7.03,1,11.153794
-219.335,20,11.188916
-7.03,1,11.193076
-82.016667,20,11.234174
-73.99,20,11.271897
-6.083333,12,11.303325
-31.409286,7,11.318445
3.456667,20,11.364446
-86.943333,19,11.398736
-13.0,5,11.407762
-118.546667,20,11.440468
-5.22,20,11.473986
-7.69,3,11.479538
1.200889,20,11.514957
-9.542222,20,11.547992
-42.42,20,11.583414
20.248571,6,11.597977
-12.773732,20,11.632431
30.039821,18,11.661963
8.517333,6,11.674732
4.0,20,11.710394
-44.069333,12,11.729828
-27.405,20,11.763012
17.955357,7,11.773021
9.549286,5,11.783134
22.767368,12,11.80506
-26.212895,5,11.814544
-22.993333,20,11.849411
8.086,5,11.857233
-40.506667,20,11.891523
43.366,6,11.905147
-102.86,20,11.940493
-20.426667,20,11.974457
16.98,20,12.011949
-8.56,20,12.044543
10.87125,20,12.078116
1.04,20,12.115404
41.771429,15,12.139356
8.417895,20,12.17355
-14.433,20,12.205049
2.426842,6,12.219172
-70.503036,20,12.253461
-43.000667,20,12.286744
-80.79,20,12.32343
1.407,20,12.355677
17.68,20,12.389601
10.835,17,12.417019
-110.427556,20,12.452687
19.92225,20,12.486055
-74.586667,20,12.517986
5.981263,5,12.529194
-58.926,10,12.548905
-147.725,20,12.878487
-15.41,20,12.910709
48.6025,20,12.946951
5.124444,20,12.982291
23.305,10,13.001338
-0.8375,12,13.024718
-24.515556,20,13.066068
25.666667,17,13.103769
-8.56,20,13.145807
16.08,8,13.162248
-5.853333,18,13.195596
17.6625,20,13.237276
-24.114444,17,13.269922
10.163158,19,13.30581
-19.82578,20,13.340574
-17.915263,2,13.347444
-21.283158,20,13.387839
-31.728789,4,13.395081
12.56,11,13.41335
-7.03,1,13.418368
-53.49,12,13.441749
-11.14,20,13.481472
6.965536,20,13.518806
13.676667,3,13.522866
-37.4525,20,13.564458
11.273333,19,13.603171
-60.626667,20,13.640405
-97.063333,17,13.677651
-55.4225,8,13.691164
-17.125,20,13.724386
-11.79,3,13.731178
15.31,3,13.737841
4.1,20,13.77534
19.193214,19,13.807964
44.734167,9,13.822551
