name,learning_rate,gamma,entropy_coef,overall_mean_reward,adult_weight_loss,adult_weight_gain,adult_hypertension,baby_meal
reinforce_exp_01,0.001,0.99,0.001,-16.369145363408514,-5.044000000000003,-27.05210526315787,-15.097142857142856,-18.28333333333332
reinforce_exp_02,0.0005,0.99,0.001,-15.063187030075182,-10.703500000000002,-27.05210526315787,-15.097142857142856,-7.4
reinforce_exp_03,0.0001,0.99,0.001,-24.169966165413523,-13.596499999999997,-44.896578947368404,-22.426785714285685,-15.760000000000002
reinforce_exp_04,0.001,0.95,0.001,5.917000000000004,12.877500000000015,9.332999999999998,-4.992499999999998,6.45
reinforce_exp_05,0.001,0.995,0.001,-15.063187030075182,-10.703500000000002,-27.05210526315787,-15.097142857142856,-7.4
reinforce_exp_06,0.001,0.99,0.0,0.6265476190476185,10.763333333333335,2.62553571428571,-1.5299999999999998,-9.352678571428573
reinforce_exp_07,0.001,0.99,0.005,2.237035714285714,4.516000000000003,8.069999999999997,-3.2978571428571426,-0.34000000000000064
reinforce_exp_08,0.0005,0.95,0.005,1.6456503759398475,4.871999999999999,-12.07368421052632,-1.3457142857142892,15.13
reinforce_exp_09,0.0005,0.995,0.0005,-13.563187030075184,-10.703500000000002,-27.05210526315787,-15.097142857142856,-1.4000000000000048
reinforce_exp_10,0.0001,0.995,0.005,-18.984020363408508,-10.703500000000002,-27.05210526315787,-15.097142857142856,-23.083333333333304
